Altitude (z),Temperature (K),Pressure,Density
0,6000,38251.6,0.000386174
1000,6000,38251.6,0.000386174
2000,6000,38251.6,0.000386174
3000,6000,38251.6,0.000386174
4000,6000,38251.6,0.000386174
5000,6000,38251.6,0.000386174
6000,6000,38251.6,0.000386174
7000,6000,38251.6,0.000386174
8000,6000,38251.6,0.000386174
9000,6000,38251.6,0.000386174
10000,6000,38251.6,0.000386174
11000,6000,38251.6,0.000386174
12000,6000,38251.6,0.000386174
13000,6000,38251.6,0.000386174
14000,6000,38251.6,0.000386174
15000,6000,38251.6,0.000386174
16000,6000,38251.6,0.000386174
17000,6000,38251.6,0.000386174
18000,6000,38251.6,0.000386174
19000,6000,38251.6,0.000386174
20000,6000,38251.6,0.000386174
21000,6000,38251.6,0.000386174
22000,6000,38251.6,0.000386174
23000,6000,38251.6,0.000386174
24000,6000,38251.6,0.000386174
25000,6000,38251.6,0.000386174
26000,6000,38251.6,0.000386174
27000,6000,38251.6,0.000386174
28000,6000,38251.6,0.000386174
29000,6000,38251.6,0.000386174
30000,6000,38251.6,0.000386174
31000,6000,38251.6,0.000386174
32000,6000,38251.6,0.000386174
33000,6000,38251.6,0.000386174
34000,6000,38251.6,0.000386174
35000,6000,38251.6,0.000386174
36000,6000,38251.6,0.000386174
37000,6000,38251.6,0.000386174
38000,6000,38251.6,0.000386174
39000,6000,38251.6,0.000386174
40000,6000,38251.6,0.000386174
41000,6000,38251.6,0.000386174
42000,6000,38251.6,0.000386174
43000,6000,38251.6,0.000386174
44000,6000,38251.6,0.000386174
45000,6000,38251.6,0.000386174
46000,6000,38251.6,0.000386174
47000,6000,38251.6,0.000386174
48000,6000,38251.6,0.000386174
49000,6000,38251.6,0.000386174
50000,6000,38251.6,0.000386174
51000,6000,38251.6,0.000386174
52000,6000,38251.6,0.000386174
53000,6000,38251.6,0.000386174
54000,6000,38251.6,0.000386174
55000,6000,38251.6,0.000386174
56000,6000,38251.6,0.000386174
57000,6000,38251.6,0.000386174
58000,6000,38251.6,0.000386174
59000,6000,38251.6,0.000386174
